Clause,Section Title,Category,Classification,Explanation
"Sofern die aktuelle Vergütung oberhalb der jeweils gültigen Beitragsbemessungsgrenze der gesetzlichen Rentenversicherung liegt, sind sämtliche Tätigkeiten des Arbeitnehmers aus diesem Vertrag inklusive Überstunden und Mehrarbeit abgegolten.",4 (11) Arbeitszeit,Vergütung,1,Umfang von > 8 Stunden als abgegoltene Überstunden ist unzulässig
Überstunden sollen kein Regelfall sein. Aus der wiederholten Anordnung von Mehrarbeit und/oder Überstunden entsteht daher kein Anspruch auf deren künftige Anordnung oder entsprechende Vergütung.,4.10 Arbeitszeit,Vergütung,0,
"Der Arbeitnehmer verpflichtet sich, die Regelungen des Arbeitszeitgesetzes einzuhalten. Die regelmäßige tägliche Arbeitszeit kann auf 10 Stunden verlängert werden, wenn innerhalb eines Zeitraumes von 24 Wochen die durchschnittliche Wochenarbeitszeit nicht überschritten und in anderer Form ausgeglichen wird. Der Arbeitnehmer verpflichtet sich, nicht mehr als 10 Stunden werktäglich zu arbeiten und die über seine normale Arbeitszeit des § 3 Arbeitszeitgesetz hinausgehende Arbeitsleistung (8 Arbeitsstunden werktäglich) selbständig im Zeiterfassungssystem in Datev zu erfassen, wo diese für mindestens 2 Jahre durch den Arbeitgeber archiviert werden. Der Arbeitgeber ist berechtigt, stichpunktartige Kontrollen durchzuführen, um seiner Verpflichtung aus dem Arbeitszeitgesetz nachzukommen.",4.12 Arbeitszeit,Leistungen,0,
"Der Arbeitgeber ist berechtigt, einseitig Kurzarbeit anzuordnen, wenn ein erheblicher Arbeitsausfall vorliegt, der auf wirtschaftlichen Gründen oder einem unabwendbaren Ereignis beruht und der Arbeitsausfall der Arbeitsverwaltung angezeigt ist (§§ 95 ff. SGB III). Dabei ist eine Ankündigungsfrist von drei Wochen einzuhalten. Für die Dauer der Kurzarbeit vermindert sich die in § 5 geregelte Vergütung im Verhältnis der ausgefallenen Arbeitszeit zur regelmäßigen Arbeitszeit.",4.13 Arbeitszeit,Sonstiges,0,Transparente Vorankündigungsfrist
"Die regelmäßige wöchentliche Arbeitszeit beträgt (abzüglich der Pausen, die sich nach den Regelungen des Arbeitszeitgesetzes richten) zurzeit 40 Wochenstunden. Sofern der Arbeitnehmer Teilzeit arbeiten möchte, ist dies grundsätzlich möglich. Hierbei unterstützt der Arbeitgeber den Arbeitnehmer.",4.7 Arbeitszeit,Leistungen,0,
"Die Verteilung der Arbeitszeit auf die einzelnen Wochentage und die Festlegung von Beginn und Ende der täglichen Arbeitszeiten richten sich nach den Weisungen des Arbeitgebers, der betrieblichen Übung und den Erfordernissen des Marktes unter Beachtung des Arbeitszeitgesetzes.",4.8 Arbeitszeit,Durchführung,0,
"Wir sind bemüht, Überstunden zu vermeiden. Soweit dies dennoch betrieblich erforderlich ist, ist der Arbeitnehmer im Rahmen der gesetzlichen Bestimmungen verpflichtet, auf Anordnung des Arbeitgebers in zumutbarem Maß Überstunden sowie Sonn-, Feiertags-, Schicht- und Nachtarbeit zu leisten. Überstunden müssen von dem jeweiligen Vorgesetzen ausdrücklich angeordnet werden.",4.9 Arbeitszeit,Überstunden,0,
"Der Arbeitnehmer erhält auf der Grundlage der vereinbarten Arbeitszeit ein monatliches Bruttogrundentgelt in Höhe von 1.350,00 €. Bei einem Eintritt oder Ausscheiden im laufenden Monat erfolgt eine anteilige Vergütung. Außerdem erhält der Arbeitnehmer einen Provisionsvorschuss von 1.150,00 €. Dieser wird mit der Provision gemäß Anlage 1 monatsweise verrechnet und muss nicht zurückzubezahlt werden.",5.1 Vergütung,Vergütung,0.5,Mindestlohn
"Die Rückzahlungsverpflichtung gilt entsprechend, wenn das Anstellungsverhältnis innerhalb der vorgenannten Zeiträume durch einen Aufhebungsvertrag beendet wird und Anlass des Aufhebungsvertrages ein Recht zur außerordentlichen Kündigung oder fristgerechten Kündigung aus erhaltensbedingten Gründen seitens des Arbeitgebers ist.",5.10 Vergütung,Kündigung/Beendigung,0,
"Die Abrechnung und Auszahlung des Lohnes erfolgt jeweils zum Monatsende. Alle Zahlungen erfolgen bargeldlos. Der Arbeitnehmer ist verpflichtet, ein Konto zu unterhalten und dem Arbeitgeber seine Kontonummer mitzuteilen. Änderungen der Kontoverbindung sind unverzüglich mitzuteilen.",5.2 Vergütung,Sonstiges,0,
"Hat der Arbeitgeber dem Arbeitnehmer versehentlich eine höhere Vergütung gezahlt als geschuldet, ist der Arbeitnehmer verpflichtet, die zu viel bezogenen Zahlungen an den Arbeitgeber zurückzuzahlen. Insofern verzichtet er auf den Einwand des Wegfalls der Bereicherung, wenn die rechtsgrundlose Überzahlung so offensichtlich war, dass der Mitarbeiter dies hätte erkennen müssen oder wenn die Überzahlung auf Umständen beruht, die der Mitarbeiter zu vertreten hat.",5.3 Vergütung,Sonstiges,0,
Vor der Abrechnung geleistete Zahlungen sind Vorschüsse.,5.4 Vergütung,Sonstiges,0,
"Soweit der Arbeitgeber dem Arbeitnehmer Vorschüsse und Darlehen gewährt, werden die Restbeträge daraus bei Beendigung des Arbeitsverhältnisses ohne Rücksicht auf die bei Hingabe getroffenen Vereinbarungen fällig, es sei denn, dass der Arbeitgeber das Arbeitsverhältnis aus betriebsbedingten Gründen gekündigt oder der Arbeitnehmer aus einem von dem Arbeitgeber zu vertretenden Grund außerordentlich gekündigt hat.",5.5 Vergütung,Sonstiges,0,
Im Falle des Verzuges sind Zinsen aus dem Nettobetrag und nicht aus dem Bruttobetrag geschuldet.,5.6 Vergütung,Sonstiges,0,
"Soweit der Arbeitgeber außerdem Gratifikationen, Boni oder sonstige Sonderzahlungen (z. B. Urlaubsgeld, Weihnachtsgeld) in Aussicht stellt, geschieht dies freiwillig und es wird hiermit kein Rechtsanspruch auf Weitergewährung in den folgenden Kalenderjahren begründet. Auch bei wiederholter Zahlung begründet dies keinen Rechtsanspruch für die Zukunft. Der Arbeitgeber behält sich vor, jedes Jahr neu zu entscheiden, ob und in welcher Höhe eine Sonderzahlung gewährt wird.",5.7 Vergütung,Vergütung,0,
"Im Eintritts- und Austrittsjahr erfolgt die Zahlung, sollte sie gewährt werden, zeitanteilig. Sonderzahlungen werden anteilig um die Zeiten gekürzt, in denen der Arbeitnehmer keine Arbeitsleistung erbracht hat und für die die Entgeltfortzahlungspflicht des Arbeitgebers erloschen ist.",5.8 Vergütung,Vergütung,0,
"Sollte eine Sonderzahlung in Form eines Weihnachtsgeldes gewährt worden sein, ist der Arbeitnehmer verpflichtet, dieses zurückzuzahlen, wenn er aufgrund eigener Kündigung oder aufgrund außerordentlicher oder verhaltensbedingter Kündigung des Arbeitgebers aus einem von ihm zu vertretenden Grund vor dem 31. März des auf die Auszahlung folgenden Kalenderjahres, sofern das Weihnachtsgeld zwischen 103,00 € und bis zu einer Monatsvergütung beträgt, ausscheidet. Sofern die Gratifikation eine Monatsvergütung übersteigt, ist der Arbeitnehmer verpflichtet, diese zurückzuzahlen, wenn er aufgrund eigener Kündigung oder aufgrund außerordentlicher oder verhaltensbedingter Kündigung des Arbeitgebers aus einem von ihm zu vertretenden Grund vor dem 30. Juni des auf die Auszahlung folgenden Kalenderjahres ausscheidet.",5.9 Vergütung,Vergütung,0.5,Je nach Gehalt ggf. unwirksam
"Die Abtretung und Verpfändung von Ansprüchen aus dem Arbeitsverhältnis ist ohne vorherige Zustimmung des Arbeitgebers untersagt. Der Arbeitgeber darf die Zustimmung nur aus sachlichen Gründen verweigern. Entstehen dem Arbeitgeber durch eine Pfändung, Verpfändung oder Abtretung Kosten, so hat diese Kosten der Arbeitnehmer zu tragen, mindestens jedoch pauschaliert 20,00 € je Pfändungsrate sowie 15,00 € für jedes Schreiben sowie 5,00 € pro Überweisung. Das gilt nicht, soweit dadurch der unpfändbare Teil des Gehalts geschmälert wird. Dem Arbeitnehmer bleibt der Nachweis gestattet, dass ein Schaden überhaupt nicht entstanden oder wesentlich niedriger ist als die Pauschale.","6 (1) Abtretung, Pfändung und Verpfändung von Gehaltsansprüchen",Pfändung/Abtretung,1,Pfändungs-/Abtretungsverbot nach § 308 Nr. 9 lit. a BGB in AGB ausgeschlossen; Kostenpauschalen zu hoch. Möglich wären hier 10 € pauschal für jede Abtretung/Pfändung
"Der Arbeitnehmer erklärt, zum Zeitpunkt des Vertragsabschlusses keine Pfändungen oder Abtretungen vorgenommen zu haben.","6.2 Abtretung, Pfändung und Verpfändung von Gehaltsansprüchen",Pfändung/Abtretung,0,
"Jede Nebentätigkeit, gleichgültig, ob sie entgeltlich oder unentgeltlich ausgeübt wird, bedarf der vorherigen schriftlichen Zustimmung des Arbeitgebers. Die Zustimmung ist zu erteilen, wenn die Nebentätigkeit die Wahrnehmung der dienstlichen Aufgaben zeitlich nicht oder allenfalls unwesentlich behindert und sonstige betriebliche Interessen des Arbeitgebers nicht beeinträchtigt werden.",7.1 Nebentätigkeit,Vertragsstrafe/Wettbewerbsverbot,0,
"Das Zustimmungserfordernis gemäß Abs. 1 besteht auch für die Aufnahme karitativer, konfessioneller oder politischer Tätigkeiten, sofern sie die Tätigkeit nach Maßgabe dieses Vertrags beeinträchtigen können. Absatz 1 gilt auch für Vorträge und Veröffentlichungen.",7.2 Nebentätigkeit,Vertragsstrafe/Wettbewerbsverbot,0,
"Die Übernahme von Ämtern in Aufsichtsgremien sowie die Übernahme bzw. die Beteiligung an Unternehmen oder Organisationen bedarf ebenfalls grundsätzlich der vorherigen, ausdrücklichen und schriftlichen Genehmigung der Geschäftsleitung des Arbeitgebers. Die zur Übernahme eines Amtes erteilte Zustimmung kann aus wichtigem Grund und zu jeder Zeit widerrufen werden, wobei im Falle eines Widerrufs bestehende Fristvorschriften für die Beendigung des übernommenen Amtes berücksichtigt und eingehalten werden müssen.",7.3 Nebentätigkeit,Vertragsstrafe/Wettbewerbsverbot,0,
Der Arbeitgeber kann seine Zustimmung auch befristet erteilen.,7.4 Nebentätigkeit,Vertragsstrafe/Wettbewerbsverbot,0,
"Bei Vertragsschließung sind keine Nebentätigkeiten oder Beteiligungen an anderen Unternehmen oder Organisationen durch den Arbeitnehmer zu entrichten, die vor Vertragsunterzeichnung dem Arbeitgeber anzuzeigen wären.",7.5 Nebentätigkeit,Vertragsstrafe/Wettbewerbsverbot,0,
"Eine erbrachte Zustimmung der Geschäftsleitung des Arbeitgebers kann aus wichtigem Grund und unter Beachtung sowie Bewahrung etwaiger Kündigungsfristen, die vom Arbeitnehmer einzuhalten sind, widerrufen werden. Diese Kündigung ist dem Arbeitnehmer schriftlich durch die Geschäftsleitung zuzuführen.",7.6 Nebentätigkeit,Vertragsstrafe/Wettbewerbsverbot,0,
"Während der Dauer des Arbeitsverhältnisses sind Nebenbeschäftigungen für andere oder eigene Unternehmen gleicher Art, mit denen der Arbeitgeber im Wettbewerb steht oder stehen würde, dem Arbeitnehmer untersagt. Er wird jede Tätigkeit unterlassen, die objektiv geeignet ist, fremden oder eigenen Wettbewerb zu fördern, unabhängig davon, ob dies auf eigene oder fremde Rechnung geschieht. Die gilt auch für die Förderung von Wettbewerb im familiären, persönlichen oder privaten Umfeld. Jede direkte oder indirekte Tätigkeit für oder im Interesse von Konkurrenzunternehmen, entgeltlich oder unentgeltlich, ist untersagt. Der Arbeitnehmer wird sich in keiner Form, weder unmittelbar noch mittelbar, an Unternehmen, die mit dem Arbeitgeber in Wettbewerb stehen oder mit denen der Arbeitgeber Geschäftsverbindungen unterhält, beteiligen.",7.7 Nebentätigkeit,Vertragsstrafe/Wettbewerbsverbot,0.5,Je nach Stellenbezeichnung ggf.  Zu weitgegehend
"Der Arbeitnehmer ist verpflichtet, dem Arbeitgeber jede Arbeitsverhinderung und ihre voraussichtliche Dauer unverzüglich (per Telefon oder per E-Mail) der vom Arbeitgeber hierfür vorgesehenen Stelle, ansonsten dem Vorgesetzten, so früh wie möglich, möglichst jedoch 1 Stunde vor Arbeitsbeginn, mitzuteilen. Auf Verlangen sind die Gründe der Dienstverhinderung mitzuteilen. Bei anstehenden Terminangelegenheiten hat der Arbeitnehmer auf vordringlich zu erledigende Arbeiten hinzuweisen. Ist der Arbeitnehmer hierzu selbst nicht in der Lage, hat er in gleicher Weise die Informationen des Arbeitgebers durch Dritte zu veranlassen.",8.1 Dienstverhinderung und Erkrankung,Krankheit,0.5,Genauer Grund für Abwesenheit (Diagnose/Erkrankung) muss dem AG nicht mitgeteilt werden
"§ 616 BGB wird hiermit ausgeschlossen. Andere Ansprüche aus den Sozialgesetzbüchern, insbesondere der Anspruch aus § 45 SGB V bleiben davon unberührt.",8.10 Dienstverhinderung und Erkrankung,Krankheit,0,
"Auf Wunsch kann der Arbeitnehmer unbezahlten Urlaub nehmen, sofern betriebliche Interessen nicht entgegenstehen. Während des unbezahlten Urlaubes ruht das Arbeitsverhältnis. Der Arbeitnehmer kann einen unbezahlten Urlaub nicht einseitig widerrufen.",8.11 Dienstverhinderung und Erkrankung,Krankheit,0,
"Dauert die Arbeitsunfähigkeit länger als drei Kalendertage ist der Arbeitnehmer verpflichtet, eine ärztliche Bescheinigung über die Arbeitsunfähigkeit sowie deren voraussichtliche Dauer an dem darauffolgenden Arbeitstag vorzulegen. Der Arbeitgeber ist berechtigt, die Vorlage früher zu verlangen.",8.2 Dienstverhinderung und Erkrankung,Krankheit,0,
"Dauert die Arbeitsunfähigkeit länger als in der Bescheinigung angegeben, so ist der Arbeitnehmer verpflichtet, dies unverzüglich - sofern absehbar am letzten Tag der bisherigen Arbeitsunfähigkeit - anzuzeigen und ab dem Tag nach Ablauf der vorangegangenen Arbeitsunfähigkeitsbescheinigung eine neue ärztliche Bescheinigung vorzulegen. Diese Bescheinigung muss am ersten Tag des Folgezeitraumes vorliegen. Dies gilt auch über den 6-Wochen-Entgeltfortzahlungszeitpunkt hinaus.",8.3 Dienstverhinderung und Erkrankung,Krankheit,0,
"Legt der Arbeitnehmer die Arbeitsunfähigkeitsbescheinigung nicht innerhalb der vereinbarten Fristen vor, kann der Arbeitgeber die Entgeltfortzahlung zurückbehalten, solange der Arbeitnehmer keine Bescheinigung vorgelegt hat und soweit der Arbeitnehmer die Nichtvorlage der Arbeitsunfähigkeitsbescheinigung zu vertreten hat.",8.4 Dienstverhinderung und Erkrankung,Krankheit,0,
"Der Arbeitnehmer hat bei Beendigung der Arbeitsverhinderung den Zeitpunkt der Wiederaufnahme der Arbeit rechtzeitig, spätestens am Vortag zu den üblichen Dienstzeiten, dem Arbeitgeber mitzuteilen.",8.5 Dienstverhinderung und Erkrankung,Krankheit,0,
"Hält sich der Arbeitnehmer im Ausland auf, so verpflichtet sich dieser, dem Arbeitgeber die Arbeitsunfähigkeit, deren Dauer und die Adresse desjeweiligen Aufenthaltsortes in der schnellstmöglichen Art der Übermittlung mitzuteilen.",8.6 Dienstverhinderung und Erkrankung,Krankheit,0,
"In Zweifelsfällen kann der Arbeitgeber jederzeit verlangen, dass sich der Arbeitnehmer vom medizinischen Dienst der Krankenkassen (MDK) untersuchen lässt.",8.7 Dienstverhinderung und Erkrankung,Krankheit,0.5,konkrete Anhaltspunkte notwendig
"Der Arbeitnehmer hat den Arbeitgeber über alle Umstände zu informieren, die zur Arbeitsunfähigkeit geführt haben, sofern die Arbeitsunfähigkeit durch eigenes oder fremdes Verschulden im Sinne der gesetzlichen Vorschriften (grob fahrlässig oder vorsätzlich) herbeigeführt worden ist. Der Arbeitnehmer tritt etwaige Schadensersatzansprüche für den Fall und insoweit an den Arbeitgeber ab, als eine Verletzung durch einen Dritten vorliegt und trotz Arbeitsunfähigkeit die Bezüge ganz oder teilweise vom Arbeitgeber weiter entrichtet werden. Der Arbeitnehmer ist verpflichtet, die für die Verfolgung der Schadensersatzansprüche notwendigen Auskünfte zu erteilen.",8.8 Dienstverhinderung und Erkrankung,Krankheit,0,
"Bei Beantragung einer Leistung zur medizinischen Rehabilitation muss der Arbeitnehmer im Vorfeld die Personalabteilung davon rechtzeitig in Kenntnis setzen, damit eine reibungslose Personaldisposition und Urlaubsplanung gewährleistet werden kann.",8.9 Dienstverhinderung und Erkrankung,Krankheit,0,
Der Arbeitnehmer hat Anspruch auf den gesetzlichen Urlaubsanspruch von 20 Arbeitstagen pro Kalenderjahr bei einer 5-Tage-Woche (24 Arbeitstage bei einer 6-Tage-Woche) gemäß § 3 Abs. 1 BUrlG. Schwerbehinderte erhalten den gesetzlichen Mehrurlaub von zurzeit 5 Tagen.,9.1 Urlaub,Urlaub,0,
"Darüber hinaus gewährt der Arbeitgeber dem Arbeitnehmer weitere 5 Mehrurlaubstage pro Kalenderjahr (auf Basis einer 5-Tage-Woche). Der freiwillige Mehrurlaub verfällt mit Ablauf des Kalenderjahres, das gilt insbesondere auch dann, wenn der Arbeitnehmer den Urlaub aus Gründen der Arbeitsunfähigkeit in Folge Krankheit oder aus anderen von ihm nicht zu vertretenden Gründen nicht nehmen kann. Soweit der Urlaub verfällt, entfällt auch ein etwaiger Urlaubsabgeltungsanspruch.",9.2 Urlaub,Urlaub,0,
"Mit der Erteilung von Urlaub erfüllt der Arbeitgeber zunächst den Anspruch der Arbeitnehmer auf den gesetzlichen Mindesturlaub, erst dann einen ggf. bestehenden Anspruch auf freiwilligen Zusatzurlaub. Erst nach vollständiger Erfüllung des gesetzlichen Urlaubsanspruchs und des gesetzlichen Zusatzurlaubsanspruchs wird der vertragliche Mehrurlaub im Sinne dieser Vorschrift erteilt.",9.3 Urlaub,Urlaub,0,
"Die zeitliche Lage des Urlaubs wird im gegenseitigen Einvernehmen unter Berücksichtigung der betrieblichen Interessen und der persönlichen Interessen des Arbeitnehmers entschieden. Der Arbeitgeber ist berechtigt Betriebsurlaub anzuordnen, der dann jeweils auf die dem Arbeitnehmer zustehenden Urlaubstage angerechnet wird. Der Jahresurlaub des Folgejahres in Höhe von 14 Urlaubstagen ist jeweils bis zum 30.11. des laufenden Jahres anzumelden. Die gewünschten Urlaubstage sind mit dem direkten Vorgesetzten abzustimmen und durch diesen schriftlich genehmigen zu lassen. Die Urlaubstage dürfen erst nach erbrachter Genehmigung genommen werden.",9.4 Urlaub,Urlaub,0.5,Pflicht zur Urlaubsanmeldung von 14 Tagen bis November des Vorjahres je nach Branche und Gesamturlaubstagen nicht rechtmäßig
